attacker_pct,decision,density,family,scenario_id,trust_score,truth_attacker,vehicle_count
0.05,CAUTION,sparse,replay,s101_replay_25v_5pct_sparse_rural_507,0.8772999999999999,True,25
0.01,CAUTION,moderate,benign,s101_benign_100v_1pct_moderate_highway_905,0.8772999999999999,False,100
0.4,CAUTION,moderate,fabrication,s101_fabrication_500v_40pct_moderate_highway_1571,0.8772999999999999,True,500
0.2,CAUTION,dense,fabrication,s101_fabrication_1000v_20pct_dense_urban_1753,0.8772999999999999,True,1000
0.1,CAUTION,dense,benign,s101_benign_1000v_10pct_dense_highway_1673,0.8772999999999999,False,1000
0.1,CAUTION,moderate,fabrication,s101_fabrication_1000v_10pct_moderate_urban_1705,0.8772999999999999,True,1000
0.01,CAUTION,moderate,collusion,s101_collusion_1000v_1pct_moderate_highway_1607,0.8772999999999999,True,1000
0.2,CAUTION,moderate,replay,s101_replay_250v_20pct_moderate_rural_1275,0.8772999999999999,True,250
0.05,CAUTION,dense,replay,s101_replay_1000v_5pct_dense_highway_1637,0.8772999999999999,True,1000
0.05,CAUTION,moderate,fabrication,s101_fabrication_5v_5pct_moderate_rural_87,0.8285160547742281,True,5
0.1,CAUTION,moderate,benign,s101_benign_10v_10pct_moderate_highway_320,0.8516532038004614,False,10
0.4,CAUTION,moderate,fabrication,s101_fabrication_250v_40pct_moderate_urban_1345,0.8772999999999999,True,250
0.01,CAUTION,dense,fabrication,s101_fabrication_100v_1pct_dense_rural_945,0.8772999999999999,True,100
0.4,CAUTION,dense,sybil,s101_sybil_10v_40pct_dense_highway_431,0.8516532038004614,True,10
0.05,CAUTION,sparse,benign,s101_benign_10v_5pct_sparse_urban_271,0.8516532038004614,False,10
0.05,CAUTION,moderate,benign,s101_benign_5v_5pct_moderate_highway_50,0.8285160547742281,False,5
0.05,CAUTION,moderate,collusion,s101_collusion_100v_5pct_moderate_rural_978,0.8772999999999999,True,100
0.01,CAUTION,dense,replay,s101_replay_5v_1pct_dense_highway_17,0.8285160547742281,True,5
0.2,CAUTION,sparse,benign,s101_benign_25v_20pct_sparse_rural_588,0.8772999999999999,False,25
0.01,CAUTION,sparse,fabrication,s101_fabrication_100v_1pct_sparse_urban_937,0.8772999999999999,True,100
0.05,CAUTION,moderate,collusion,s101_collusion_50v_5pct_moderate_rural_753,0.8772999999999999,True,50
0.05,CAUTION,moderate,replay,s101_replay_10v_5pct_moderate_rural_285,0.8516532038004614,True,10
0.01,CAUTION,moderate,fabrication,s101_fabrication_5v_1pct_moderate_highway_41,0.8285160547742281,True,5
0.1,CAUTION,moderate,replay,s101_replay_5v_10pct_moderate_urban_103,0.8285160547742281,True,5
